basements,central_air,exterior_condition,fireplaces,garage_type,interior_condition,market_value,number_of_rooms,number_stories,parcel_shape,street_designation,topography,total_area,total_livable_area,type_heater,view_type,building_description,section
D,N,4.0,0.0,0,4.0,274800.0,7.0,2.0,E,AVE,6,2036.0,2000.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,264800.0,7.0,0.0,E,ST ,6,1917.0,1905.0,H,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,386600.0,5.0,0.0,A,ST ,6,2084.0,1704.0,A,I,FRAME,South
F,Y,3.0,0.0,A,3.0,397600.0,5.0,0.0,E,ST ,6,2083.82,1704.0,A,I,FRAME,South
D,N,4.0,0.0,0,4.0,273700.0,6.0,3.0,E,ST ,6,1483.2,1846.0,H,I,MASONRY,South
D,Y,4.0,0.0,0,4.0,227500.0,7.0,0.0,E,ST ,6,5527.2,1249.0,H,I,MASONRY,South
0,Y,3.0,0.0,C,3.0,337800.0,5.0,0.0,A,ST ,6,2424.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,383500.0,3.0,0.0,E,ST ,6,2419.96,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,386900.0,3.0,0.0,A,ST ,6,2660.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,389300.0,3.0,0.0,A,ST ,6,2849.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,385700.0,3.0,0.0,A,ST ,6,2573.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,337800.0,3.0,0.0,A,ST ,6,2534.0,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,390800.0,5.0,0.0,E,ST ,6,3073.78,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,388000.0,3.0,0.0,E,ST ,6,2835.0,1760.0,A,I,FRAME,South
C,Y,3.0,0.0,A,3.0,388000.0,3.0,0.0,E,ST ,6,2835.0,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,388000.0,3.0,0.0,E,ST ,6,2835.0,1480.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,391100.0,3.0,0.0,A,ST ,6,3099.0,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,400600.0,3.0,0.0,B,ST ,6,4047.0,2130.0,A,I,FRAME,South
A,Y,3.0,0.0,A,3.0,388200.0,3.0,0.0,E,ST ,6,2854.8,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,388000.0,5.0,0.0,E,ST ,6,2835.0,1760.0,A,I,FRAME,South
A,Y,3.0,0.0,A,3.0,388200.0,6.0,0.0,A,ST ,6,2855.0,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,389800.0,5.0,0.0,A,ST ,6,3115.98,1760.0,A,I,FRAME,South
G,Y,3.0,0.0,A,3.0,386600.0,6.0,0.0,A,ST ,6,2852.0,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,388200.0,5.0,0.0,A,ST ,6,2855.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,386600.0,5.0,0.0,A,ST ,6,2853.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,386600.0,5.0,0.0,A,ST ,6,2854.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,389500.0,5.0,0.0,A,ST ,6,3092.0,1760.0,A,I,FRAME,South
I,Y,2.0,0.0,B,2.0,514900.0,8.0,3.0,E,AVE,6,2269.5,2632.0,A,I,MASONRY,South
D,Y,4.0,0.0,B,4.0,446500.0,7.0,2.0,E,AVE,6,1539.0,2200.0,A,I,MASONRY,South
D,N,4.0,0.0,0,4.0,216100.0,6.0,0.0,E,ST ,6,2266.97,1148.0,H,I,MASONRY,South
G,Y,3.0,0.0,A,3.0,381400.0,5.0,0.0,A,ST ,6,2455.0,1704.0,A,I,FRAME,South
A,Y,3.0,0.0,A,3.0,379500.0,6.0,0.0,A,ST ,6,2318.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,379500.0,5.0,0.0,A,ST ,6,2318.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,B,3.0,376400.0,6.0,0.0,A,ST ,6,2318.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,379500.0,5.0,0.0,A,ST ,6,2318.0,1760.0,A,I,FRAME,South
A,Y,3.0,0.0,A,3.0,379500.0,5.0,0.0,A,ST ,6,2317.7,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,389300.0,5.0,0.0,E,ST ,6,2525.0,1760.0,A,I,MASONRY,South
D,Y,3.0,0.0,A,3.0,389300.0,5.0,0.0,A,ST ,1,2525.0,1760.0,A,I,MASONRY,South
D,Y,3.0,0.0,A,3.0,384300.0,5.0,0.0,A,ST ,1,2452.0,1704.0,A,I,MASONRY,South
D,Y,3.0,0.0,A,3.0,401700.0,5.0,0.0,A,ST ,1,2512.0,1904.0,A,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,406400.0,5.0,0.0,A,ST ,6,3021.0,1436.0,A,I,MASONRY+OTHER,South
0,Y,3.0,0.0,A,3.0,380600.0,5.0,0.0,A,ST ,6,1754.0,1704.0,A,I,FRAME,South
E,N,4.0,0.0,0,4.0,248800.0,7.0,2.0,E,ST ,6,1542.54,1630.0,A,I,MASONRY,South
C,N,4.0,0.0,0,4.0,226800.0,6.0,2.0,E,ST ,6,1542.54,1294.0,A,I,MASONRY,South
D,N,4.0,0.0,0,4.0,226800.0,6.0,2.0,E,ST ,6,1542.54,1294.0,H,I,MASONRY,South
D,Y,2.0,0.0,0,2.0,342900.0,7.0,2.0,E,ST ,6,1542.54,1695.0,A,I,MASONRY,South
D,N,4.0,0.0,0,4.0,226800.0,6.0,2.0,E,ST ,6,1542.54,1294.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,228500.0,7.0,2.0,E,ST ,6,1542.54,1318.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,228300.0,6.0,2.0,E,ST ,6,1526.13,1318.0,H,I,MASONRY,South
D,N,5.0,0.0,0,5.0,157300.0,6.0,2.0,E,ST ,6,1526.13,1318.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,228300.0,6.0,2.0,E,ST ,6,1526.13,1318.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,228300.0,6.0,2.0,E,ST ,6,1526.13,1318.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,232900.0,6.0,2.0,E,ST ,6,1549.38,1380.0,H,I,MASONRY,South
D,N,5.0,0.0,0,5.0,182100.0,7.0,2.0,E,ST ,6,1882.0,1788.0,H,I,MASONRY,South
C,N,4.0,0.0,0,4.0,340700.0,7.0,2.0,E,ST ,6,2698.5,3420.0,A,I,MASONRY,South
0,Y,4.0,0.0,A,4.0,255500.0,3.0,2.0,E,ST ,6,1680.0,1064.0,A,I,MASONRY,South
D,N,4.0,0.0,0,4.0,272700.0,7.0,2.0,E,ST ,6,1728.0,2000.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,258300.0,7.0,2.0,E,ST ,6,1476.0,1800.0,H,I,MASONRY,South
D,Y,4.0,0.0,0,4.0,235000.0,6.0,2.0,E,ST ,6,1750.2,960.0,H,I,MASONRY,South
D,Y,4.0,0.0,B,4.0,444800.0,7.0,2.0,E,ST ,6,2334.4,2044.0,H,I,MASONRY,South
C,Y,2.0,0.0,0,2.0,559700.0,7.0,2.0,E,ST ,6,2289.2,1900.0,A,I,MASONRY,South
0,Y,2.0,0.0,A,2.0,795600.0,7.0,3.0,E,ST ,6,1998.75,2900.0,A,I,MASONRY,South
D,N,4.0,0.0,0,4.0,306400.0,6.0,2.0,E,ST ,6,3108.85,1217.0,H,I,MASONRY,South
D,Y,2.0,0.0,B,2.0,558300.0,7.0,2.0,E,ST ,6,1600.0,2880.0,H,I,MASONRY,South
C,N,4.0,0.0,A,4.0,437900.0,7.0,2.0,E,ST ,6,1680.0,3360.0,B,I,MASONRY,South
C,N,4.0,0.0,0,4.0,315400.0,9.0,3.0,E,ST ,6,1939.98,2358.0,A,I,MASONRY,South
A,Y,4.0,0.0,0,3.0,369900.0,6.0,2.0,E,ST ,6,1440.0,1288.0,H,I,MASONRY,South
0,N,4.0,5.0,A,4.0,562700.0,7.0,2.0,E,ST ,1,4718.4,3623.0,H,I,MASONRY,South
C,Y,4.0,0.0,0,4.0,405500.0,7.0,3.0,E,ST ,6,1455.63,1987.0,A,I,MASONRY,South
C,Y,2.0,0.0,0,2.0,625600.0,7.0,3.0,E,ST ,6,1600.0,2112.0,A,I,MASONRY,South
A,Y,2.0,0.0,A,2.0,640000.0,9.0,3.0,A,ST ,6,1933.0,3554.0,A,I,MASONRY,South
D,Y,4.0,0.0,B,4.0,490200.0,7.0,3.0,E,ST ,6,1680.0,3350.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,283500.0,6.0,2.0,E,ST ,6,1680.0,1392.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,374400.0,9.0,3.0,E,ST ,6,1544.64,1824.0,H,I,MASONRY,South
D,Y,4.0,0.0,0,4.0,379800.0,8.0,3.0,E,ST ,6,1544.64,1680.0,H,I,MASONRY,South
A,Y,2.0,0.0,0,2.0,563700.0,6.0,3.0,E,ST ,6,1536.96,2004.0,A,I,MASONRY,South
D,Y,4.0,0.0,B,4.0,339400.0,7.0,2.0,E,ST ,6,1440.0,1800.0,A,I,MASONRY,South
C,N,4.0,0.0,C,4.0,400000.0,11.0,3.0,E,ST ,6,2583.0,3048.0,A,I,MASONRY,South
C,N,4.0,0.0,0,4.0,368400.0,6.0,2.0,E,AVE,6,1850.0,1600.0,B,I,MASONRY,South
0,Y,3.0,0.0,A,4.0,473500.0,6.0,3.0,E,AVE,6,1879.0,1942.0,H,A,MASONRY,South
0,Y,3.0,0.0,A,4.0,473500.0,6.0,2.0,E,AVE,1,1879.0,1942.0,H,A,MASONRY,South
0,Y,4.0,0.0,A,4.0,529700.0,6.0,2.0,E,AVE,4,1879.0,1942.0,H,A,MASONRY,South
A,Y,3.0,0.0,0,3.0,523500.0,7.0,2.0,E,ST ,6,1544.73,2186.0,A,I,MASONRY,South
0,Y,4.0,0.0,A,4.0,529700.0,6.0,2.0,E,AVE,1,1879.0,1942.0,H,A,MASONRY,South
0,Y,4.0,0.0,A,4.0,529700.0,6.0,2.0,E,AVE,4,1879.0,1942.0,H,A,MASONRY,South
D,Y,3.0,0.0,B,3.0,397700.0,7.0,0.0,E,ST ,6,3753.0,1972.0,A,I,FRAME,South
D,Y,3.0,0.0,B,3.0,398100.0,7.0,0.0,E,ST ,6,3794.0,1972.0,A,I,FRAME,South
D,Y,3.0,0.0,B,3.0,398100.0,7.0,0.0,E,ST ,6,3797.0,1972.0,A,I,FRAME,South
D,Y,3.0,0.0,B,3.0,398000.0,7.0,0.0,E,ST ,6,3780.0,1972.0,A,I,FRAME,South
D,Y,3.0,0.0,B,3.0,398000.0,7.0,0.0,E,ST ,6,3780.0,1972.0,A,I,FRAME,South
D,Y,3.0,0.0,B,3.0,397900.0,7.0,0.0,E,ST ,6,3771.0,1972.0,A,I,FRAME,South
D,Y,3.0,0.0,B,3.0,444300.0,7.0,0.0,E,ST ,6,3802.0,1972.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,435700.0,5.0,0.0,A,ST ,6,2001.0,1760.0,A,I,FRAME,South
D,N,4.0,0.0,0,4.0,223200.0,6.0,2.0,E,ST ,6,1510.0,1272.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,307200.0,9.0,3.0,E,ST ,1,1744.0,1968.0,B,I,MASONRY,South
H,Y,3.0,0.0,A,3.0,435600.0,6.0,2.0,A,ST ,6,3364.0,1760.0,A,I,FRAME,South
D,N,7.0,0.0,0,7.0,100100.0,6.0,2.0,E,ST ,1,1440.0,960.0,H,I,FRAME,South
D,Y,2.0,0.0,0,2.0,623500.0,5.0,3.0,E,ST ,6,1613.33,2286.0,A,I,MASONRY,South
C,N,4.0,1.0,0,4.0,393600.0,8.0,3.0,E,ST ,6,1494.3,2157.0,H,I,MASONRY,South
D,Y,3.0,0.0,0,3.0,518400.0,7.0,3.0,E,ST ,6,1717.0,2200.0,B,I,MASONRY,South
C,N,4.0,0.0,0,3.0,518100.0,6.0,3.0,E,ST ,6,1475.67,2556.0,H,I,MASONRY,South
D,Y,3.0,1.0,A,3.0,651600.0,7.0,3.0,A,ST ,6,1471.18,2500.0,B,I,MASONRY,South
D,Y,3.0,0.0,A,3.0,375900.0,7.0,2.0,E,ST ,6,2208.0,2208.0,A,I,MASONRY,South
D,Y,2.0,0.0,C,2.0,749100.0,7.0,3.0,E,ST ,1,1800.0,2430.0,A,I,MASONRY,South
C,N,5.0,0.0,C,5.0,601400.0,9.0,3.0,A,ST ,6,2855.3,2176.0,B,I,MASONRY,South
D,Y,3.0,0.0,A,3.0,2059200.0,19.0,3.0,E,ST ,6,6920.99,6814.0,A,I,MASONRY,South
H,N,4.0,0.0,0,4.0,446000.0,9.0,3.0,E,ST ,6,2109.28,3000.0,H,I,MASONRY,South
0,Y,3.0,1.0,0,3.0,1001400.0,6.0,0.0,A,ST ,6,3268.62,2310.0,D,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,440400.0,5.0,0.0,A,ST ,6,2377.0,1988.0,A,I,FRAME,South
H,Y,3.0,0.0,A,3.0,431400.0,6.0,2.0,A,ST ,6,1894.46,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,359000.0,5.0,2.0,A,ST ,6,3355.0,1760.0,A,I,FRAME,South
H,Y,3.0,0.0,0,3.0,386600.0,7.0,2.0,E,ST ,6,1550.0,1646.0,B,I,MASONRY,South
0,Y,2.0,0.0,0,2.0,693000.0,6.0,3.0,E,ST ,6,1910.0,2063.0,C,I,MASONRY,South
I,N,4.0,0.0,B,4.0,507200.0,7.0,2.0,E,ST ,6,1544.0,2240.0,H,I,MASONRY,South
A,Y,2.0,2.0,A,2.0,1371400.0,8.0,3.0,E,ST ,6,1653.6,3856.0,A,I,MASONRY,South
C,Y,4.0,0.0,0,4.0,711900.0,8.0,3.0,A,ST ,6,1550.0,2705.0,A,I,MASONRY,South
E,Y,3.0,0.0,A,3.0,799800.0,7.0,4.0,A,ST ,6,2779.85,3097.0,A,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,752900.0,7.0,4.0,A,ST ,6,1641.0,2873.0,A,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,756600.0,7.0,4.0,A,ST ,6,1733.21,2873.0,A,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,794300.0,7.0,4.0,A,ST ,6,2124.99,3097.0,A,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,856900.0,7.0,4.0,E,ST ,6,1789.51,3097.0,A,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,777100.0,7.0,4.0,A,CT ,6,2862.15,2447.0,A,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,777500.0,7.0,4.0,A,CT ,6,2871.23,2447.0,A,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,706900.0,7.0,4.0,A,CT ,6,1684.99,2447.0,A,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,717000.0,7.0,4.0,A,CT ,6,1968.55,2447.0,A,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,727000.0,7.0,4.0,A,CT ,6,2637.41,2447.0,A,I,MASONRY,South
E,Y,4.0,0.0,0,3.0,662000.0,5.0,3.0,E,ST ,6,2100.0,1725.0,A,C,MASONRY,South
A,Y,2.0,1.0,0,2.0,889200.0,8.0,3.0,A,ST ,6,1560.4,2914.0,A,C,MASONRY,South
0,Y,3.0,0.0,A,3.0,777600.0,7.0,4.0,A,ST ,6,1680.0,3097.0,A,I,MASONRY,South
J,Y,3.0,4.0,C,3.0,929000.0,9.0,4.0,E,ST ,6,1800.0,3834.0,H,I,MASONRY,South
H,Y,4.0,4.0,0,4.0,613600.0,8.0,2.0,E,ST ,6,1544.91,2402.0,B,I,MASONRY,South
A,Y,4.0,5.0,C,4.0,719700.0,8.0,3.0,A,ST ,6,2891.0,2102.0,B,C,MASONRY,South
A,Y,3.0,3.0,A,3.0,1192100.0,6.0,3.0,E,ST ,6,1728.0,2634.0,A,I,MASONRY,South
D,N,4.0,0.0,0,4.0,90600.0,6.0,0.0,E,ST ,6,1760.0,1486.0,B,I,MASONRY,South West
A,Y,4.0,0.0,0,2.0,191400.0,6.0,0.0,E,ST ,6,1760.0,1376.0,B,I,MASONRY,South West
D,N,4.0,0.0,0,4.0,90400.0,6.0,0.0,E,ST ,6,1980.0,1390.0,B,I,MASONRY,South West
C,N,4.0,0.0,0,4.0,89400.0,7.0,0.0,E,ST ,6,1600.0,1600.0,B,I,MASONRY,South West
A,Y,2.0,0.0,0,2.0,139100.0,7.0,0.0,E,ST ,6,1736.0,1522.0,B,I,MASONRY,South West
D,N,4.0,0.0,0,4.0,91000.0,6.0,0.0,E,ST ,6,1632.0,1368.0,B,I,MASONRY,South West
F,N,3.0,0.0,A,3.0,113300.0,7.0,0.0,E,AVE,6,1821.6,1660.0,B,I,MASONRY,South West
F,Y,3.0,0.0,A,3.0,125200.0,7.0,0.0,E,PKY,6,2970.0,2270.0,B,I,MASONRY,South West
D,N,3.0,1.0,0,3.0,120400.0,7.0,0.0,E,PKY,6,1600.0,1516.0,B,I,MASONRY,South West
0,N,3.0,1.0,0,3.0,120400.0,7.0,0.0,E,PKY,6,1600.0,1516.0,B,I,MASONRY,South West
A,N,3.0,0.0,0,3.0,132700.0,7.0,0.0,E,PKY,6,3141.0,2120.0,B,I,MASONRY,South West
C,N,4.0,1.0,0,4.0,90300.0,7.0,0.0,E,AVE,6,1776.0,1525.0,B,I,MASONRY,South West
J,N,5.0,0.0,B,5.0,65400.0,7.0,0.0,E,ST ,6,2768.7,1782.0,H,I,MASONRY,South West
F,N,3.0,0.0,A,3.0,153700.0,7.0,0.0,E,ST ,6,2750.0,1728.0,B,I,MASONRY,South West
D,N,4.0,0.0,0,4.0,90200.0,7.0,0.0,E,ST ,6,1760.0,1516.0,B,I,MASONRY,South West
